repo,repo_topics,date_first_commit,creation,date_first_release
jsonform/jsonform,"json, json-schema, forms, html5, json-form, javascript",1317729960000,1317729948000,1528212983000
inveniosoftware/invenio,"python, flask, elasticsearch, postgresql, redis, rabbitmq, digital-library, digital-repository, invenio, inveniosoftware, json-schema, angularjs, institutional-repository, multimedia-library, multimedia-repository",1018277831000,1319812431000,1028210160000
python-jsonschema/jsonschema,"json-schema, json, validation, schema, jsonschema",1325216213000,1325216263000,1632956797000
OParl/spec,"oparl, specification, api, restful, json, json-schema",1355427497000,1355415039000,1468399337000
timbeadle/grunt-tv4,"needs-maintainer, grunt, json-schema, grunt-plugins",1371080436000,1371080435000,1460114036000
joelittlejohn/jsonschema2pojo,"java, json-schema, json, jackson, gson, maven-plugin, ant-task, gradle-plugin",1291982675000,1371940133000,1341268929000
ethlo/jsons2xsd,"json, json-schema, xml-schema, xsd, jsonschema, java, converter, xml",1372134259000,1372134183000,1514452069000
tristanpenman/valijson,"json, json-schema, json-schema-validator, header-only",1383079871000,1383081017000,1527742810000
timbeadle/tv4-reporter,"needs-maintainer, json-schema, tv4, reporter",1385228701000,1385228701000,1460111918000
metosin/ring-swagger,"clojure, json-schema, rest, openapi, schema-elements, swagger, metosin-inactive",1388009764000,1391166225000,1399880960000
json-schema-form/angular-schema-form,"angular, json-schema, angular-schema-form, json-ui-schema, json-schema-form",1395672163000,1395672163000,1398243035000
snowplow/iglu,"json-schema, machine-readable, repository, snowplow",1399462217000,1399462217000,1403979024000
jlblcc/json-schema-viewer,"json-schema, d3js, visualization",1400527092000,1400527092000,1442618781000
rodikh/angular-json-editor,"json-editor, angular, json-schema",1401725245000,1401725287000,1416382556000
jgarzik/univalue,"c-plus-plus, univalue, json, json-parser, json-schema, json-data, autotools, raii",1402603444000,1402602613000,1535765585000
netheril96/StaticJSON,"c-plus-plus, json, json-schema, parsing",1410884154000,1410884154000,1469248965000
AndersDJohnson/jackson-json-reference,"json-reference, java, json-schema, jackson, json-pointer, json",1412666561000,1412666571000,1454737644000
horiuchi/dtsgenerator,"typescript, json-schema, swagger, opneapi",1413375747000,1413361224000,1460561804000
APIDevTools/swagger-parser,"swagger, openapi, rest-api, json-schema, parser, resolver, validator, validation, nodejs, javascript, universal-javascript, openapi3",1413785820000,1413785691000,1443153857000
mcustiel/php-simple-request,"php, annotations, json-schema, filter, validation, parse",1419133430000,1419133430000,1419636060000
JamesNK/Newtonsoft.Json.Schema,"json, schema, c-sharp, json-schema",1417496987000,1419713884000,1421753257000
duncanhall/expand-swagger-refs,"swagger-schema, json-schema, stdin, expanding-values, javascript",1423144910000,1423145038000,1490644689000
eclipsesource/jsonforms,"react, redux, json, json-schema, forms, js, typescript, angular, material, customizable, vue, vue3",1486988129000,1423823046000,1505896291000
nitely/tiny-json-validator,"javascript, json-schema, validator",1427150141000,1427150118000,1427151240000
ngx-formly/ngx-formly,"forms, json-forms, dynamic-forms, angular, material, bootstrap, nativescript, ionic, primeng, kendo-ui, json-schema, schematics, formly, ng-zorro, ng-zorro-antd",1428551967000,1428551933000,1460124735000
eclipsesource/play-json-schema-validator,"scala, json-schema, playframework, play-json",1429201598000,1429201597000,1471376947000
ajv-validator/ajv,"json-schema, validator, ajv",1432077812000,1432077812000,1434196865000
GochoMugo/elbow,"testing, mocha, json-api, json-schema",1432474178000,1432470565000,1432486742000
farolfo/raml-server,"raml, swagger, api, mock, ui, raml-server, json-server, json-schema",1432737944000,1432737944000,1432966553000
washingtonpost/ans-schema,"washington-post, json-schema, schema-files, arc, arc-publishing, arcxp",1435156501000,1435156501000,1611944340000
json-schema-form/angular-schema-form-bootstrap,"json-schema, json-ui-schema, angular-schema-form, bootstrap, json-schema-form",1433425155000,1435586329000,1443214707000
APIDevTools/json-schema-ref-parser,"javascript, nodejs, json-schema, json-reference, json-pointer, resolver, parser, universal-javascript",1436828005000,1436827949000,1451575232000
ajv-validator/ajv-cli,"json-schema, validator, ajv, command-line",1437540649000,1437541948000,1437542334000
rs/rest-layer,"api, rest-api, graphql, framework, go, api-server, api-documentation, storage-backend, json-schema, schema-fields",1437676740000,1438197380000,1483469469000
snowplow/iglu-ruby-client,"json-schema, json, iglu, snowplow, validation, data",1484913705000,1440060005000,1486576600000
ajv-validator/ajv-i18n,"json-schema, ajv, validator, internationalization, i18n",1441751069000,1441751069000,1447792519000
brutusin/json-forms,"json-schema, json-form, html, json, form",1443104037000,1443104008000,1444740947000
TechniqueSoftware/react-json-schema,"json-schema, react-components, react-elements, parser, react, javascript-library",1443723157000,1443723084000,1446839725000
Narazaka/WithSchemaEditor,"json-schema-form, json-schema",1446335072000,1446332366000,1446337493000
phramework/validate,"json-schema, validation, php",1444060497000,1448557074000,1521119833000
taocpp/json,"json, jaxn, cbor, msgpack, ubjson, json-pointer, json-patch, json-schema, cpp, header-only, cpp17",1448566448000,1448566448000,1453841684000
for-GET/jesse,"json-schema, erlang",1340035079000,1449309017000,1450312515000
rjsf-team/react-jsonschema-form,"react, json-schema, forms, ui, web, json, data-validation",1450278974000,1450278845000,1450371513000
